"keyword1","keyword2","keyword3","keyword4","keyword5","keyword6","keyword7","keyword8","keyword9","keyword10","tmdbId","image_url","name","year","janre1","janre2","janre3","janre4","janre5"
friendship,small town,self-discovery,"1970s",family relationships,cannabis,retro,group of friends,teenage romance,sitcom,52,https://image.tmdb.org/t/p/originalnull,"70년대 쇼","1998-08-23",코미디,가족,드라마,,
"long island, new york",psychiatrist,family,sitcom,,,,,,,54,https://image.tmdb.org/t/p/original/7BtJmCVz0hW6C5Ze9Ofl6wYGPut.jpg,Growing Pains,"1985-09-24",코미디,,,,
,,,,,,,,,,55,https://image.tmdb.org/t/p/original/twsoO8NCTitfW4My9wKz2p5yJou.jpg,North of 60,"1992-12-03",드라마,,,,
blonde,celebrity,singer,newlywed,celebrity couple,,,,,,56,https://image.tmdb.org/t/p/original/gXLtrw4TizEl1S7Dx6MvaXINDEl.jpg,Newlyweds: Nick and Jessica,"2003-08-19",Reality,,,,
fbi,female cop,criminal investigation,forensic psychology,,,,,,,57,https://image.tmdb.org/t/p/original/o5jgPizvKMRYKUB2oOGE0Hglows.jpg,Angela's Eyes,"2006-07-16",드라마,Action & Adventure,,,
sitcom,,,,,,,,,,59,https://image.tmdb.org/t/p/original/4JSQb4uFPNLunGsS9FjY9wYhOj.jpg,Avrupa Yakası,"2004-02-11",가족,코미디,,,
competition,reality competition,,,,,,,,,62,https://image.tmdb.org/t/p/originalnull,The Challenge,"1998-04-20",Reality,,,,
dark comedy,surreal,satire,political humor,british society,,,,,,63,https://image.tmdb.org/t/p/original/1aC9QRe4yiZUw0qyrJfra1I30sc.jpg,Brass Eye,"1997-01-29",코미디,,,,
,,,,,,,,,,64,https://image.tmdb.org/t/p/original/zePuPYhhtfWEF4zq1tSqxYNf7Uk.jpg,The Surgeon,"2005-10-13",드라마,,,,
new york city,self-destruction,police detective,crime investigation,,,,,,,65,https://image.tmdb.org/t/p/original/iDiiIBZCjdihpBoDKzVRhb7C9B.jpg,The Job,"2001-03-14",드라마,코미디,,,
,,,,,,,,,,67,https://image.tmdb.org/t/p/original/3jAdacJlx81TNdN26eucSaGBcCr.jpg,What's Happening Now!!,"1985-09-07",코미디,,,,
,,,,,,,,,,69,https://image.tmdb.org/t/p/original/vxBvlmWwCkT7qinDz4BQM8bK4cA.jpg,پاورچین‎,"2002-09-10",코미디,,,,
,,,,,,,,,,70,https://image.tmdb.org/t/p/original/7sP1tv9e2wZzdOATVZxtZN3DUbi.jpg,This Hour Has 22 Minutes,"2009-09-28",News,코미디,,,
roommate,missouri,male friendship,sports bar,,,,,,,71,https://image.tmdb.org/t/p/original/l6zPtpkP0wejienR6KBZboeEMR0.jpg,Malcolm & Eddie,"1996-08-26",코미디,,,,
van,"london, england",brother,flat,ambition,grandfather,uncle,scam,business,working class,72,https://image.tmdb.org/t/p/original/8QznQBwr4aqPIQTiymL7obM3qOK.jpg,Only Fools and Horses,"1981-09-08",코미디,,,,
surrey,neighbor,suburb,sitcom,,,,,,,73,https://image.tmdb.org/t/p/original/uiqsdY2sEGLxLyU8YnPEuLIvIq0.jpg,Ever Decreasing Circles,"1984-01-29",코미디,,,,
restaurant,sitcom,young adult,,,,,,,,75,https://image.tmdb.org/t/p/original/ulm7wLxyxDNO8kEe12oTM5efWfb.jpg,"남자 둘, 여자 하나","1998-03-10",코미디,,,,
sea monster,,,,,,,,,,76,https://image.tmdb.org/t/p/original/soIVuFi1AZut7OYNcb2lLStLJ00.jpg,Sigmund and the Sea Monsters,"1973-09-08",Sci-Fi & Fantasy,Kids,,,
true crime,magazine show,,,,,,,,,78,https://image.tmdb.org/t/p/original/fjymobW70x2QrCrKaq5ZjVFSrsR.jpg,Dateline,"1992-03-31",News,,,,
nba,,,,,,,,,,80,https://image.tmdb.org/t/p/original/nKQ2dUexTahqjXoWTnltg3loIMX.jpg,NBA on TNT,"1989-11-04",코미디,,,,
,,,,,,,,,,87,https://image.tmdb.org/t/p/original/3hQ2okjIuBxeQru8w6nnXav0tTz.jpg,The Secret Life of Us,"2001-07-16",드라마,,,,
ex-lover,misunderstanding,second chance,elderly,middle age,sitcom,missed opportunity,reunite,,,88,https://image.tmdb.org/t/p/original/hgpSfLu6uzGRB4SLz6Jtai5T3Xq.jpg,As Time Goes By,"1992-01-12",코미디,,,,
dark comedy,dysfunctional family,car garage,,,,,,,,89,https://image.tmdb.org/t/p/original/Ab7WWSBFSYbZVXORydeEaPltG9K.jpg,Titus,"2000-03-20",코미디,드라마,,,
airplane wreck,airplane accident,airplane crash,crash landing,exploding airplane,plane crash,plane,,,,90,https://image.tmdb.org/t/p/original/lkU3OafPOiaPSyUuDilJ2FM9O1b.jpg,항공 사고 수사대,"2003-09-03",다큐멘터리,드라마,,,
teen spy,,,,,,,,,,92,https://image.tmdb.org/t/p/original/cfJNNsQXxbe6JvEQ6daGv8Y0r6K.jpg,The Famous Jett Jackson,"1998-10-25",드라마,,,,
california,vineyard,wine,wealthy,wealthy family,,,,,,93,https://image.tmdb.org/t/p/original/wWPlBb6ff89szCrqgeevAxlKniL.jpg,Falcon Crest,"1981-12-04",Soap,드라마,,,
high school,monster,magic,vampire,anti hero,supernatural,chosen one,vampire hunter (slayer),female protagonist,apocalypse,95,https://image.tmdb.org/t/p/original/y7fVZkyheCEQHDUEHwNmYENGfT2.jpg,버피와 뱀파이어,"1997-03-10",Sci-Fi & Fantasy,코미디,드라마,Action & Adventure,
department store,sitcom,workplace comedy,,,,,,,,97,https://image.tmdb.org/t/p/original/nkg8zTDmHKau54dJechoLdzgTsh.jpg,The Drew Carey Show,"1995-09-13",코미디,,,,
martial arts,,,,,,,,,,104,https://image.tmdb.org/t/p/original/aB1u7Y51cjpZrWtBqa0BefAAPcN.jpg,사조영웅전,"1983-02-21",드라마,Action & Adventure,,,
new york city,beauty,female friendship,love,dating,newspaper reporter,"manhattan, new york city",sitcom,,,105,https://image.tmdb.org/t/p/original/7oE9DNAyqjDQf5yyGuUNvwHsZE8.jpg,섹스 앤 더 시티,"1998-06-06",코미디,,,,
canada,dysfunctional family,teen drama,,,,,,,,108,https://image.tmdb.org/t/p/original/1rFGHT5SUimwJqob61f5BXA2FCJ.jpg,"Alice, I Think","2006-06-18",코미디,,,,
australia,surfing,beach,sports,training,,,,,,109,https://image.tmdb.org/t/p/original/zDsSVyVT0vRNgkaGhkym273UMqS.jpg,Blue Water High,"2005-05-11",드라마,코미디,,,
sitcom,workplace comedy,,,,,,,,,110,https://image.tmdb.org/t/p/original/xKKV8RNURtXipLmxa26PfazWuYy.jpg,Less than Perfect,"2002-10-01",코미디,,,,
