content_id,title,genre,poster_url,rating_count,rating_avg,overview
132,Fantastic Four: World's Greatest Heroes,Animation Action & Adventure,https://image.tmdb.org/t/p/original/zCtCW0JlbMpzfQDAX1bO1o1KLi.jpg,75,7.613,"Mister Fantastic, the Invisible Woman, the Human Torch, and Thing battle some of their greatest foes, including Doctor Doom, Ronan the Accuser, the Multiple Man, and Mole Man."
137,W.I.T.C.H.,Animation Sci-Fi & Fantasy Comedy,https://image.tmdb.org/t/p/original/tBoCZnUrX4xjI3Ge8zd5OCvjlLA.jpg,60,7.5,"The Guardians must save Meridian from the evil sorcerer Phobos and Cedric who are searching for Phobos' sister, the long lost princess of Meridian and true heir to the throne. They later find her and the Guardians then set about saving her from Phobos. When Meridian is freed from evil and true heir takes the throne, a new mysterious sorceress named Nerissa frees Phobos' top henchmen and reforms them as the Knights of Vengeance. Once the Guardians learn more about the sorceress and her evil plan of reuniting former Guardians, they are able to defeat the Knights only to have more powerful Knights, in addition to the former Guardians attack them."
140,Martin Mystery,Action & Adventure Sci-Fi & Fantasy Animation,https://image.tmdb.org/t/p/original/nAxpKhVuaMmPXx4iLUPa7lpEySY.jpg,30,6.5,"Martin Mystery has a passion for all things paranormal. When he's not at school, this teenage lover of supernatural ooze works undercover for a secret bureau specialising in mysterious phenomena. Together with his older stepsister Diana, Java (a massive caveman lost in time) and Billy (a small green hovering creature), he checks out weird wonders. Martin is always bursting with energy and seldom thinks before he leaps. Diana is his guardian angel – a straight-A student, she brings the brains to their missions. Seen a zombie, alien or ghost? Call Martin Mystery."
143,Popetown,Animation Comedy,https://image.tmdb.org/t/p/original/2bPaSEnlVBqmzv7yOt4VyAJ5pGt.jpg,2,3.0,"Popetown is a controversial animated sitcom, billed by its producers as ""Father Ted meets South Park"", following the doodles and scribblings of a student at school during a lesson. His drawings depict the life of Father Nicholas, who lives in a Vatican City parody referred to as ""Popetown"". He is charged with being the handler for the Pope who is a complete nincompoop with the emotional and mental maturity of a four-year-old. Father Nicholas must keep the Pope out of trouble, and make sure the general public does not find out that the Holy Father is a drooling idiot. Other characters include a priest who is a sexual deviant, and a trio of corrupt cardinals who secretly run Popetown and attempt to get rich behind the Pope's back. These and other elements caused the show to be extremely controversial."
151,Bosco Adventure,Animation Sci-Fi & Fantasy,https://image.tmdb.org/t/p/original/vwsLECVfkosaPvICQWwwxpT8g9y.jpg,0,0.0,"Bosco Adventure is an anime TV series produced by Nippon Animation, mainly inspired by a book ""Storie del Bosco"" of the Italian writer Tony Wolf, and other books of this author. The series was very popular in Europe in the late 1980s and early 1990s, and were shown in many European countries, America, and other parts of world like Egypt, Djibouti, Cameroon, Israel and South Korea. They were big success in France, Italy and Japan, but not very famous and was not commercialized in the UK or USA since they were never released in English. The Japanese DVDs were released on 25 July 2003."
160,Teenage Mutant Ninja Turtles,Action & Adventure Animation Comedy Kids,https://image.tmdb.org/t/p/original/AaihPizftZo5YCqzEgHMwkceaEo.jpg,601,7.6,"Four turtles fall into the sewers and are befriended by Hamato Yoshi a Japanese man sent to New York who was forced to live in the sewers. One day he sees a strange green glow which transforms the four turtles into human-like creatures. Hamato (now Master Splinter) changes into a giant rat from the green glow and teaches the turtles the skills of the ninja as they team up with news reporter April O'Neil to battle against Yoshi's arch enemy Shredder and Krang, an alien warlord from Dimension X."
177,I Am Weasel,Animation Comedy Kids,https://image.tmdb.org/t/p/original/ibSVhfayNItAAoGkI8bHYOHPQdH.jpg,166,7.217,"The adventures of the noble, generous, intelligent and good-at-everything I.M. Weasel, who must compete once again with his arch-enemy, the bumbling, brainless and utterly talentless I.R. Baboon."
178,My Life as a Teenage Robot,Animation Comedy Action & Adventure Sci-Fi & Fantasy,https://image.tmdb.org/t/p/original/1l2olmIShEAP36T2z52IVmKh9mR.jpg,134,7.53,"My Life as a Teenage Robot is an American animated science fantasy television series, created by Rob Renzetti for Nickelodeon. It was Nickelodeon's first animated science fiction fairy tale. The series follows the adventures of XJ-9, better known as Jenny Wakeman, a robot girl designed to protect Earth, who is excessively addicted to teen-related activities, which are almost always interrupted by Nora Wakeman, her creator and mother."
188,The Animals of Farthing Wood,Family Animation Kids,https://image.tmdb.org/t/p/original/aRKM4v1j46jxtHR3wfbNTUrYg0T.jpg,39,8.538,"The Animals of Farthing Wood is an animated series created by the European Broadcasting Union between 1992 and 1995 and based on the series of books written by Colin Dann. It was produced by Telemagination, based in London, and La Fabrique, based in Montpellier in France, but also aired in other European countries. The first countries to air the series were Germany and the United Kingdom, in January 1993."
191,Chuck Norris: Karate Kommandos,Animation,https://image.tmdb.org/t/p/original/kDczzTni5vrIzNUz8yaiBiaqq1R.jpg,8,6.0,"Martial arts master Chuck Norris brings a thrilling mix of heroism and incredible athletic prowess to this animated action series, blending the courage and ingenuity of the American frontiersman with the willpower and stoicism of the samurai warrior."
